latitude,longitude,argila
187230.2297,7487124.431,4.7
190245.3426,7480427.996,6.9
197482.9932,7468507.602,8.3
205445.2913,7469478.223,7.5
205730.989,7472739.087,18.0
202141.6884,7472397.818,10.1
199791.09,7477608.993,3.8
205603.7845,7490850.688,13.5
212422.2159,7485463.583,14.2
214547.757,7494154.735,8.3
215669.0621,7498394.926,7.9
212982.5517,7504614.25,33.9
212061.888,7506877.985,12.3
212917.6184,7510976.191,9.2
231082.0678,7494859.545,55.9
231210.4386,7479067.529,38.0
220085.7001,7476038.897,7.3
217860.1393,7493173.641,36.9
223049.2639,7479290.125,30.5
220351.1639,7466097.458,33.6
217686.1497,7466039.02,23.2
216017.9197,7465447.618,29.9
220083.2507,7461567.672,34.6
212374.1501,7463617.481,19.1
216129.9927,7457226.513,21.0
223209.8047,7456952.806,15.6
219910.8763,7449310.52,25.0
231637.166,7437530.46,16.7
240531.5058,7444258.713,17.7
240248.0968,7447142.519,8.4
234535.2606,7445901.448,9.2
233710.4204,7448017.22,12.3
238803.4568,7459305.279,14.1
236848.5128,7463618.806,18.3
236774.2282,7460953.781,11.6
229715.0658,7460132.156,11.2
226547.6001,7459903.873,10.0
223965.7908,7460798.034,38.3
228294.1445,7457212.908,22.4
233561.285,7465027.355,54.7
228301.6976,7466058.497,39.2
228696.1234,7472906.671,43.1
227342.5123,7476298.253,8.2
231903.1655,7474510.066,21.0
235356.8192,7467125.583,48.9
226125.1256,7494378.329,38.8
222080.6006,7492348.915,23.4
217561.84,7460538.016,43.8
220974.9718,7458244.559,7.6
223073.2277,7453799.973,17.5
217281.6069,7451957.261,19.7
216827.8368,7448232.418,24.2
219314.7424,7453167.546,14.3
228097.6302,7444770.131,48.9
234398.9071,7460730.556,6.8
234007.5295,7451348.614,45.9
237600.6437,7444549.254,9.0
230014.0765,7464533.874,35.7
218748.0286,7499735.976,32.7
215028.8064,7501902.356,20.1
225226.6201,7504527.561,11.6
219661.1852,7501812.404,26.7
206953.068,7475630.498,7.0
200054.6038,7483772.286,3.8
211093.5163,7502628.088,7.7
220479.44,7464337.786,37.4
220172.3574,7468796.938,45.5
224554.4046,7463443.279,32.0
229425.7975,7457983.706,4.1
237186.2823,7465959.06,6.3
228774.1036,7451347.219,33.3
231004.9172,7452108.205,5.5
231401.7996,7446313.277,19.5
234371.5178,7452555.332,39.9
236621.1399,7443979.149,9.7
221574.7357,7502309.567,54.7
229223.7384,7449110.936,59.2
213978.7426,7499847.634,8.2
228521.0,7439995.0,54.2
216168.5967,7511278.723,14.3
237314.0,7446430.0,61.4
222080.492,7500803.74,37.2
230532.6596,7450038.606,41.3
234483.8624,7452311.844,51.1
221897.8145,7500537.964,36.9
236281.7097,7455791.122,10.4
215020.3853,7501868.186,10.2
227486.2457,7475467.199,65.9
224484.894,7500991.857,31.6
211491.6774,7501879.534,8.3
212106.6398,7504716.364,15.8
212038.483,7504630.507,12.3
214196.0818,7494293.301,6.1
217008.8859,7490314.691,32.2
212453.284,7486354.277,9.8
212438.9281,7485958.836,9.7
219670.2092,7504382.021,37.4
206955.2125,7473304.087,15.6
223523.559,7507749.049,8.2
215145.0251,7471667.636,42.5
203789.9677,7489172.063,15.0
216085.9613,7490219.066,7.4
205718.2887,7481621.592,2.5
210684.2116,7488798.308,15.0
208799.8446,7488106.685,32.5
206201.488,7491042.229,12.5
205416.3355,7491220.823,19.9
204767.4436,7491060.749,15.0
203954.5094,7490972.775,19.8
221883.0047,7510057.146,53.4
223253.5496,7509088.77,20.2
223924.2697,7508788.467,20.1
224170.9943,7509125.811,22.6
213419.4996,7511172.029,6.2
213578.5142,7511406.715,12.6
242993.0441,7478312.601,15.0
241461.1029,7476883.054,10.0
239302.0988,7470394.135,20.1
222749.7326,7468198.088,49.7
219634.257,7469706.217,15.2
219455.9276,7473490.295,7.5
222144.6171,7472616.069,10.0
242520.6349,7480045.355,30.4
229974.5444,7475273.629,30.5
229934.8562,7475440.317,48.2
227609.6941,7473115.948,53.5
228458.4792,7472765.374,45.6
229680.8566,7473511.5,25.2
230601.6079,7476583.32,27.1
230747.1289,7476318.735,45.8
230879.9232,7476258.558,22.8
229676.6461,7478381.872,51.1
227394.852,7477321.509,53.5
224794.5219,7478326.398,7.5
240290.5999,7473792.271,15.0
240474.4861,7473601.77,22.6
220176.2785,7468635.103,10.1
220253.272,7468547.262,17.6
219848.8488,7476110.214,15.0
219948.729,7476065.235,14.8
212218.0807,7471016.182,14.8
211782.0471,7471841.683,12.6
211629.6464,7471651.183,10.1
211741.8294,7471655.416,20.0
236191.9156,7458121.412,23.3
233800.0774,7456187.304,25.5
237179.4751,7455850.621,25.6
230376.3617,7449951.063,43.1
231903.0104,7452536.047,25.9
227354.6147,7456898.536,17.9
228910.5674,7449702.354,48.5
228751.8168,7451940.733,17.8
227616.7523,7452192.087,20.3
229041.5367,7459837.239,28.9
226753.3529,7459483.761,12.6
227677.8087,7460023.513,9.9
229879.6755,7458102.687,9.9
229605.0371,7457942.349,7.1
229676.8371,7457916.848,10.0
227289.8802,7456861.916,20.5
227476.4121,7456185.639,7.5
227081.9176,7456074.514,20.1
224855.1792,7460749.181,25.6
225117.6461,7460302.564,10.0
238132.903,7463323.396,15.2
239042.542,7463330.54,15.1
238278.9524,7463290.058,10.0
240817.1062,7462317.183,20.1
239620.2607,7460394.849,15.3
239693.0212,7460904.173,10.0
238185.5543,7458335.726,17.6
239962.2359,7457150.389,10.0
240957.8643,7456959.36,52.7
238799.5266,7459099.971,38.5
237566.0367,7459120.607,10.0
236115.8529,7461326.047,10.0
214898.256,7501521.141,4.9
214089.0259,7502469.014,10.0
216299.9574,7502621.697,22.5
216642.594,7502521.155,30.5
216662.7021,7502566.664,35.7
216507.2589,7502696.045,22.2
216502.0996,7502590.476,29.8
215714.434,7502211.724,29.7
216399.7057,7501185.669,10.1
216350.7577,7501243.348,14.8
216236.1929,7500604.642,6.5
216203.9137,7500655.707,10.1
215794.8668,7501147.039,9.0
214063.4405,7500639.097,22.8
213050.6139,7500631.689,15.2
214391.7892,7500804.462,17.6
214493.3895,7500810.812,32.8
214638.6465,7500819.543,27.7
214757.1798,7500920.879,15.1
215368.424,7512032.059,7.5
215460.7638,7510864.318,15.0
214446.0846,7510909.298,7.5
215219.3311,7510850.427,17.5
215372.7893,7511567.45,15.2
214075.1382,7511265.163,10.0
213954.488,7511128.637,12.5
213430.2549,7512616.767,5.0
213709.3905,7512415.684,20.0
213677.3762,7512390.284,15.1
213272.8277,7512402.984,7.5
213713.3594,7512885.319,12.5
213716.0058,7513028.195,10.0
213766.2767,7513373.477,12.5
216822.5745,7500038.944,15.0
217221.0379,7500909.954,10.3
215311.1383,7498092.93,5.1
218280.4043,7497776.712,33.1
216507.3313,7500598.343,9.9
216564.4813,7500300.95,20.1
216097.7559,7499954.875,9.7
217290.5002,7499909.366,15.5
217399.5082,7500083.99,14.8
218017.0473,7500031.075,22.7
218008.5807,7500220.517,27.4
218717.4006,7499440.303,25.2
218698.2182,7499514.387,36.3
218798.7603,7499687.689,30.5
218642.7885,7500118.696,10.3
217513.2526,7499157.031,37.7
217418.003,7499168.936,26.0
217732.1967,7498845.482,22.2
